Variável,Coeficiente,Odds Ratio,IC Inf. (95%),IC Sup. (95%),P-Valor
C(categoria_real)[T.esgoto_vazamento],1.0531055851562323,2.8665395917692558,2.1094261082574284,3.8953956239636476,1.6955818950643408e-11
C(faixa_tamanho_texto)[T.Textos médio-curtos],-0.9741478646426629,0.37751390948927455,0.15389860370341713,0.9260431766653627,0.03335448476214635
C(faixa_tamanho_texto)[T.Textos médio-longos],-1.0149979131955706,0.3624031860962752,0.13617634124242223,0.9644558525693238,0.042109806001333586
C(categoria_real)[T.estacionamento_irregular],-0.3588055835874201,0.6985101399869431,0.49059244407013175,0.9945453126359804,0.046557446248703595
C(categoria_real)[T.buraco_via],-0.30714486451383916,0.7355440389593062,0.5425498435317941,0.9971895480177472,0.04791861335372286
C(faixa_tamanho_texto)[T.Textos mais longos],-1.0178857300352104,0.3613581417473228,0.12478438238100317,1.0464427047319131,0.060616304108032135
C(canal)[T.telefone_1746],-0.14793004082872033,0.8624914520186739,0.7374216468872413,1.0087736208251403,0.06421557068038253
C(categoria_real)[T.coleta_lixo],-0.22577673467535112,0.7978962243401894,0.584870701500674,1.0885113293978126,0.15422540286529465
C(canal)[T.portal_web],-0.08720814764562615,0.9164863113102395,0.7532410337194151,1.1151107297905551,0.38356531876327715
C(categoria_real)[T.sinalizacao],-0.18524935712828036,0.8308970679110624,0.5451709793467209,1.266373236320275,0.3889099330067667
C(categoria_real)[T.iluminacao_publica],-0.12759133597807062,0.8802130170458037,0.6566763131781784,1.1798430061031508,0.39334007296381324
log_palavras,-0.27094625068389905,0.7626574876218095,0.37515788774557973,1.5504044095164138,0.4541479648030414
C(categoria_real)[T.poda_arvore],0.008617667705753528,1.0086549066983206,0.7169401373459371,1.4190650903893953,0.9605395620282937
