variavel,grupo,grupo_pt,n,accuracy_a,accuracy_b,delta_accuracy_b_menos_a,a_acerta_b_erra,b_acerta_a_erra,ganho_liquido_b,p_valor_mcnemar,metodo_mcnemar,p_valor_mcnemar_ajustado_bh
bairro,botafogo,Botafogo,270,0.7851851851851852,0.8333333333333334,0.04814814814814816,37,50,13,0.19825639744335355,McNemar qui-quadrado com correção de continuidade,0.21241756868930736
bairro,ilha do governador,Ilha Do Governador,141,0.7943262411347518,0.851063829787234,0.05673758865248224,16,24,8,0.26818725105476915,McNemar exato,0.26818725105476915
bairro,copacabana,Copacabana,350,0.7885714285714286,0.8571428571428571,0.0685714285714285,39,63,24,0.022765968903080108,McNemar qui-quadrado com correção de continuidade,0.031044503049654695
bairro,iraja,Iraja,271,0.7859778597785978,0.8560885608856088,0.07011070110701101,30,49,19,0.04285112007654232,McNemar qui-quadrado com correção de continuidade,0.0535639000956779
bairro,penha,Penha,194,0.7474226804123711,0.8247422680412371,0.07731958762886593,30,45,15,0.10596880912720207,McNemar qui-quadrado com correção de continuidade,0.1222717028390793
bairro,bangu,Bangu,435,0.7885057471264367,0.8689655172413793,0.08045977011494254,43,78,35,0.001995447172575822,McNemar qui-quadrado com correção de continuidade,0.0029931707588637334
bairro,campo grande,Campo Grande,533,0.7823639774859287,0.8649155722326454,0.0825515947467167,60,104,44,0.0007858366216931769,McNemar qui-quadrado com correção de continuidade,0.0014734436656747068
bairro,jacarepagua,Jacarepagua,467,0.7858672376873662,0.8736616702355461,0.08779443254817987,46,87,41,0.0005234896464969603,McNemar qui-quadrado com correção de continuidade,0.0012094050294326436
bairro,tijuca,Tijuca,387,0.7674418604651163,0.8630490956072352,0.09560723514211888,36,73,37,0.0005643890137352336,McNemar qui-quadrado com correção de continuidade,0.0012094050294326436
bairro,barra da tijuca,Barra Da Tijuca,403,0.771712158808933,0.8734491315136477,0.10173697270471471,41,82,41,0.0003101414891824457,McNemar qui-quadrado com correção de continuidade,0.0012094050294326436
bairro,centro,Centro,305,0.760655737704918,0.8688524590163934,0.1081967213114754,30,63,33,0.0009058485425290987,McNemar qui-quadrado com correção de continuidade,0.0015097475708818313
bairro,madureira,Madureira,340,0.75,0.861764705882353,0.11176470588235299,36,74,38,0.00041901030068076543,McNemar qui-quadrado com correção de continuidade,0.0012094050294326436
bairro,realengo,Realengo,277,0.7833935018050542,0.9025270758122743,0.11913357400722013,24,57,33,0.000377181229838258,McNemar qui-quadrado com correção de continuidade,0.0012094050294326436
bairro,santa cruz,Santa Cruz,358,0.7569832402234636,0.8966480446927374,0.13966480446927376,31,81,50,3.655513267962821e-06,McNemar qui-quadrado com correção de continuidade,2.741634950972116e-05
bairro,meier,Meier,269,0.7286245353159851,0.8884758364312267,0.1598513011152416,18,61,43,2.2969766428135438e-06,McNemar qui-quadrado com correção de continuidade,2.741634950972116e-05
